Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,-6.25,-6.25,-6.25,-6.25,-3.125,-3.125
0.02,-6.25,-3.125,0,0,-3.125,-3.125
0.04,-6.25,0,0,-3.125,-3.125,-3.125
0.06,-6.25,0,0,0,-3.125,-3.125
0.08,-6.25,0,0,0,-3.125,-3.125
0.1,-3.125,-3.125,0,-3.125,-3.125,-3.125
0.12,-3.125,-3.125,-3.125,-3.125,-3.125,-3.125
0.14,-6.25,0,3.125,0,-3.125,-3.125
0.16,-6.25,3.125,6.25,6.25,-3.125,-6.25
0.18,-6.25,6.25,9.375,9.375,-3.125,-6.25
0.2,-6.25,6.25,9.375,9.375,-3.125,-3.125
0.22,-6.25,6.25,9.375,9.375,-3.125,-3.125
0.24,-6.25,6.25,9.375,9.375,-3.125,-6.25
0.26,-6.25,12.5,9.375,9.375,-3.125,-3.125
0.28,-9.375,-3.125,3.125,9.375,-3.125,31.25
0.3,-9.375,-3.125,62.5,-75,-3.125,68.75
0.32,-9.375,-3.125,37.5,-9.375,-3.125,50
0.34,-9.375,-6.25,-9.375,53.125,-3.125,40.625
0.36,-9.375,37.5,0,87.5,-3.125,-46.875
0.38,-9.375,40.625,25,28.125,-3.125,-12.5
0.4,-6.25,21.875,31.25,31.25,0,-9.375
0.42,-6.25,21.875,28.125,28.125,0,-9.375
0.44,-6.25,21.875,28.125,28.125,0,-9.375
0.46,-6.25,18.75,21.875,21.875,0,3.125
0.48,-9.375,-37.5,15.625,12.5,-3.125,96.875
0.5,-9.375,15.625,6.25,6.25,-3.125,59.375
0.52,-9.375,43.75,18.75,18.75,-3.125,6.25
0.54,-9.375,21.875,31.25,31.25,0,18.75
0.56,-9.375,21.875,28.125,28.125,0,31.25
0.58,-9.375,31.25,40.625,-15.625,0,65.625
0.6,-9.375,18.75,21.875,68.75,0,18.75
0.62,-9.375,31.25,34.375,37.5,0,40.625
0.64,-15.625,43.75,68.75,68.75,0,6.25
0.66,-21.875,90.625,103.125,103.125,0,-25
0.68,-21.875,93.75,115.625,115.625,3.125,-31.25
0.7,-15.625,81.25,100,103.125,3.125,-25
0.72,-12.5,68.75,84.375,87.5,6.25,-18.75
0.74,-6.25,59.375,75,81.25,6.25,-15.625
0.76,-6.25,56.25,71.875,78.125,6.25,-15.625
0.78,-6.25,56.25,71.875,81.25,6.25,-12.5
0.8,-3.125,43.75,56.25,62.5,6.25,-9.375
0.82,-3.125,40.625,50,56.25,6.25,-9.375
