Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,0,0,0,0,0
0.02,0,-3.125,0,-3.125,-3.125,-3.125
0.04,-3.125,-3.125,0,-3.125,-3.125,-3.125
0.06,0,0,0,0,0,-3.125
0.08,0,0,0,0,-3.125,0
0.1,0,0,0,0,-3.125,0
0.12,0,0,0,0,0,0
0.14,0,0,0,0,-3.125,0
0.16,0,0,0,0,0,0
0.18,0,0,0,0,0,0
0.2,0,0,0,0,0,0
0.22,0,0,0,0,0,0
0.24,0,0,0,0,0,0
0.26,0,0,0,0,0,0
0.28,0,0,0,0,0,0
0.3,0,0,0,0,0,-3.125
0.32,0,0,0,0,-3.125,0
0.34,0,0,0,0,0,0
0.36,0,0,0,0,0,0
0.38,0,0,0,0,-3.125,0
0.4,0,0,0,0,-3.125,0
0.42,0,-3.125,0,0,-3.125,0
0.44,0,-3.125,0,0,-3.125,0
0.46,0,0,0,0,0,-3.125
0.48,0,0,0,0,0,0
0.5,0,0,0,0,0,0
0.52,0,0,0,0,0,0
0.54,3.125,3.125,3.125,-25,3.125,-3.125
0.56,31.25,15.625,25,-40.625,15.625,6.25
0.58,-3.125,25,-6.25,-18.75,6.25,-15.625
0.6,-9.375,0,-9.375,-9.375,0,-12.5
0.62,0,-37.5,0,3.125,-3.125,0
0.64,-9.375,-3.125,-6.25,-3.125,-3.125,-3.125
0.66,-18.75,0,-6.25,-3.125,6.25,-6.25
0.68,-6.25,3.125,-3.125,-3.125,6.25,-6.25
0.7,-3.125,6.25,-3.125,-3.125,12.5,-6.25
0.72,0,6.25,0,0,9.375,-3.125
0.74,0,6.25,3.125,0,9.375,-3.125
0.76,3.125,6.25,3.125,0,12.5,-6.25
0.78,3.125,6.25,3.125,0,9.375,-3.125
0.8,0,6.25,0,0,6.25,-6.25
0.82,3.125,0,3.125,0,3.125,-3.125
0.84,3.125,-3.125,3.125,3.125,0,0
0.86,0,-3.125,0,0,-3.125,-3.125
0.88,-15.625,-6.25,-15.625,-12.5,-6.25,46.875
0.9,3.125,-6.25,3.125,3.125,-6.25,-3.125
0.92,15.625,-3.125,12.5,15.625,-6.25,-37.5
0.94,3.125,0,3.125,6.25,-9.375,3.125
0.96,3.125,9.375,0,3.125,-6.25,3.125
0.98,6.25,0,3.125,6.25,-6.25,6.25
1,6.25,0,3.125,6.25,-9.375,6.25
1.02,9.375,0,3.125,9.375,-9.375,9.375
1.04,9.375,0,6.25,9.375,-12.5,9.375
1.06,6.25,0,3.125,9.375,-15.625,9.375
1.08,0,0,3.125,6.25,-9.375,6.25
1.1,0,0,0,6.25,-6.25,6.25
1.12,0,0,0,6.25,-6.25,3.125
1.14,6.25,-9.375,6.25,9.375,-6.25,9.375
1.16,6.25,-3.125,3.125,6.25,-6.25,6.25
1.18,9.375,-3.125,6.25,6.25,-6.25,9.375
1.2,18.75,-9.375,15.625,21.875,-12.5,25
1.22,43.75,-25,43.75,56.25,-28.125,59.375
1.24,68.75,-34.375,71.875,87.5,-40.625,87.5
1.26,21.875,184.375,31.25,40.625,-40.625,43.75
1.28,68.75,68.75,78.125,87.5,-43.75,84.375
1.3,81.25,65.625,87.5,96.875,-46.875,93.75
1.32,90.625,78.125,103.125,112.5,-53.125,106.25
1.34,84.375,68.75,90.625,100,-46.875,93.75
1.36,78.125,59.375,78.125,84.375,-37.5,81.25
1.38,90.625,71.875,93.75,103.125,-50,93.75
1.4,118.75,100,125,137.5,-71.875,125
1.42,137.5,125,146.875,162.5,-81.25,140.625
1.44,137.5,134.375,146.875,162.5,-75,137.5
1.46,131.25,131.25,134.375,146.875,-59.375,125
1.48,118.75,131.25,125,125,-46.875,115.625
1.5,134.375,34.375,140.625,131.25,-37.5,131.25
1.52,150,-75,150,134.375,-28.125,143.75
1.54,143.75,-68.75,134.375,115.625,-25,131.25
1.56,150,-65.625,134.375,118.75,-25,134.375
