Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,0,0,0,0,-3.125
0.02,0,0,0,0,0,-3.125
0.04,0,0,0,0,0,0
0.06,0,-3.125,-3.125,0,0,0
0.08,0,0,0,0,0,0
0.1,3.125,0,0,0,0,0
0.12,3.125,0,3.125,3.125,3.125,0
0.14,6.25,3.125,3.125,6.25,6.25,-3.125
0.16,3.125,3.125,3.125,3.125,3.125,-3.125
0.18,3.125,3.125,3.125,6.25,6.25,-3.125
0.2,9.375,6.25,6.25,9.375,12.5,-3.125
0.22,9.375,3.125,9.375,6.25,9.375,0
0.24,9.375,3.125,9.375,6.25,9.375,-3.125
0.26,6.25,3.125,6.25,6.25,9.375,-3.125
0.28,3.125,3.125,6.25,3.125,6.25,-3.125
0.3,3.125,3.125,3.125,3.125,3.125,-3.125
0.32,0,0,0,0,3.125,-3.125
0.34,0,3.125,0,3.125,6.25,-3.125
0.36,3.125,0,3.125,3.125,6.25,-3.125
0.38,3.125,0,3.125,3.125,3.125,-3.125
0.4,6.25,3.125,6.25,3.125,6.25,-3.125
0.42,9.375,3.125,9.375,6.25,9.375,-3.125
0.44,12.5,3.125,9.375,9.375,9.375,-3.125
0.46,12.5,3.125,12.5,9.375,9.375,0
0.48,12.5,6.25,12.5,9.375,37.5,6.25
0.5,9.375,3.125,9.375,6.25,15.625,15.625
0.52,18.75,9.375,18.75,15.625,-15.625,9.375
0.54,0,-3.125,-3.125,0,-6.25,12.5
0.56,-15.625,-6.25,-9.375,-6.25,-9.375,15.625
0.58,-6.25,12.5,12.5,12.5,15.625,3.125
0.6,12.5,12.5,9.375,15.625,18.75,-12.5
0.62,21.875,53.125,9.375,9.375,15.625,-28.125
0.64,37.5,-6.25,21.875,18.75,28.125,-15.625
0.66,31.25,31.25,15.625,12.5,18.75,3.125
0.68,31.25,28.125,18.75,15.625,21.875,3.125
0.7,53.125,-9.375,43.75,37.5,56.25,-56.25
0.72,25,65.625,25,12.5,15.625,-25
0.74,28.125,18.75,31.25,15.625,21.875,-15.625
0.76,25,-3.125,25,15.625,21.875,-3.125
0.78,21.875,-18.75,25,15.625,18.75,6.25
0.8,12.5,-9.375,15.625,9.375,6.25,12.5
0.82,-9.375,-12.5,-18.75,-6.25,-12.5,6.25
0.84,-18.75,-12.5,-21.875,-15.625,-15.625,-6.25
0.86,-15.625,-12.5,-12.5,-12.5,-15.625,-6.25
0.88,-9.375,-6.25,-12.5,-6.25,-6.25,-3.125
0.9,-6.25,-3.125,-12.5,-6.25,-3.125,0
0.92,-15.625,-12.5,-25,-15.625,-18.75,62.5
0.94,-12.5,12.5,-18.75,-9.375,-9.375,21.875
0.96,-6.25,21.875,-12.5,0,-3.125,-6.25
0.98,-6.25,-9.375,-9.375,-3.125,-6.25,37.5
1,6.25,-9.375,3.125,9.375,12.5,-25
1.02,3.125,-9.375,3.125,9.375,12.5,-21.875
1.04,0,-9.375,-3.125,3.125,3.125,3.125
1.06,0,-9.375,0,3.125,6.25,0
1.08,0,-9.375,-3.125,3.125,6.25,6.25
1.1,3.125,-9.375,0,6.25,9.375,3.125
1.12,3.125,-9.375,0,9.375,12.5,12.5
1.14,6.25,-12.5,3.125,15.625,18.75,15.625
1.16,9.375,-12.5,6.25,21.875,28.125,21.875
1.18,12.5,-12.5,9.375,31.25,37.5,31.25
1.2,15.625,-9.375,15.625,34.375,40.625,28.125
1.22,18.75,-9.375,15.625,37.5,43.75,40.625
1.24,25,-12.5,25,43.75,56.25,40.625
1.26,28.125,-12.5,25,46.875,59.375,46.875
1.28,28.125,-12.5,28.125,46.875,59.375,46.875
1.3,31.25,-15.625,31.25,50,65.625,50
1.32,31.25,-15.625,31.25,46.875,62.5,50
1.34,28.125,-15.625,34.375,43.75,59.375,46.875
1.36,28.125,-15.625,37.5,43.75,62.5,46.875
1.38,28.125,-15.625,40.625,43.75,65.625,46.875
1.4,28.125,-15.625,40.625,43.75,65.625,46.875
1.42,25,-15.625,37.5,40.625,62.5,46.875
1.44,25,-12.5,37.5,37.5,59.375,43.75
1.46,25,-12.5,37.5,40.625,59.375,31.25
1.48,21.875,-12.5,34.375,34.375,56.25,37.5
1.5,18.75,-9.375,31.25,28.125,46.875,37.5
1.52,18.75,-9.375,31.25,28.125,46.875,34.375
1.54,25,-12.5,34.375,34.375,53.125,40.625
1.56,-84.375,337.5,-59.375,-75,-103.125,-68.75
1.58,-37.5,259.375,-9.375,-31.25,-37.5,-21.875
1.6,34.375,-31.25,46.875,37.5,59.375,43.75
1.62,31.25,-37.5,37.5,31.25,50,40.625
1.64,28.125,-28.125,28.125,28.125,43.75,31.25
1.66,28.125,-25,28.125,28.125,40.625,34.375
1.68,25,-21.875,21.875,21.875,34.375,25
1.7,21.875,-18.75,21.875,18.75,28.125,21.875
1.72,25,-18.75,25,21.875,34.375,25
1.74,31.25,-15.625,31.25,31.25,43.75,34.375
1.76,34.375,-21.875,37.5,34.375,50,37.5
1.78,34.375,-18.75,37.5,31.25,46.875,34.375
1.8,28.125,-15.625,31.25,25,37.5,25
1.82,31.25,-18.75,37.5,28.125,43.75,31.25
1.84,37.5,-21.875,46.875,40.625,59.375,40.625
1.86,43.75,-18.75,56.25,46.875,71.875,50
1.88,50,-21.875,62.5,53.125,81.25,56.25
1.9,43.75,-15.625,62.5,50,78.125,53.125
1.92,34.375,-12.5,50,37.5,59.375,37.5
1.94,28.125,-9.375,37.5,25,37.5,31.25
1.96,28.125,-12.5,43.75,28.125,43.75,31.25
1.98,37.5,-18.75,56.25,40.625,62.5,43.75
2,37.5,-12.5,56.25,40.625,62.5,43.75
2.02,25,-3.125,37.5,25,37.5,28.125
2.04,18.75,0,28.125,12.5,21.875,18.75
2.06,18.75,-6.25,31.25,12.5,21.875,18.75
2.08,18.75,3.125,28.125,12.5,21.875,18.75
2.1,-178.125,671.875,-156.25,-187.5,-256.25,-175
2.12,-6.25,40.625,-3.125,-15.625,-18.75,-9.375
2.14,3.125,-37.5,0,-9.375,-9.375,-3.125
2.16,-3.125,-31.25,-9.375,-15.625,-18.75,-9.375
2.18,-6.25,-25,-15.625,-15.625,-21.875,-12.5
2.2,-6.25,-25,-15.625,-15.625,-18.75,-12.5
2.22,-9.375,-18.75,-18.75,-18.75,-25,-15.625
2.24,-15.625,-15.625,-25,-25,-31.25,-21.875
2.26,-18.75,-15.625,-31.25,-28.125,-37.5,-31.25
2.28,-18.75,-12.5,-37.5,-34.375,-43.75,-31.25
2.3,-21.875,-12.5,-40.625,-37.5,-50,-34.375
2.32,-21.875,-12.5,-37.5,-34.375,-43.75,-34.375
2.34,-15.625,-18.75,-28.125,-25,-31.25,-25
2.36,-9.375,-15.625,-18.75,-21.875,-25,-15.625
2.38,-3.125,-18.75,-9.375,-12.5,-12.5,-6.25
2.4,-3.125,-18.75,-9.375,-9.375,-9.375,-6.25
2.42,-6.25,-15.625,-9.375,-12.5,-12.5,-9.375
2.44,-3.125,-15.625,-6.25,-9.375,-9.375,-3.125
2.46,-6.25,-15.625,-12.5,-12.5,-15.625,-9.375
2.48,-9.375,-15.625,-15.625,-15.625,-18.75,-9.375
2.5,-9.375,-28.125,-18.75,-18.75,-21.875,-15.625
2.52,-12.5,-18.75,-18.75,-18.75,-21.875,-15.625
2.54,0,-12.5,-6.25,-3.125,-3.125,-53.125
2.56,-9.375,-18.75,-12.5,-12.5,-15.625,34.375
2.58,3.125,-21.875,3.125,3.125,6.25,3.125
2.6,3.125,-18.75,3.125,3.125,6.25,0
2.62,6.25,-18.75,6.25,6.25,9.375,6.25
2.64,9.375,-18.75,9.375,9.375,12.5,9.375
2.66,6.25,-18.75,9.375,9.375,12.5,6.25
2.68,6.25,-18.75,9.375,6.25,12.5,6.25
2.7,15.625,-31.25,25,18.75,28.125,21.875
2.72,31.25,-31.25,46.875,37.5,56.25,40.625
2.74,53.125,-40.625,81.25,68.75,93.75,43.75
2.76,59.375,-40.625,96.875,78.125,109.375,90.625
2.78,53.125,25,81.25,68.75,93.75,59.375
2.8,56.25,-18.75,81.25,68.75,93.75,59.375
2.82,46.875,43.75,68.75,59.375,81.25,43.75
2.84,56.25,-9.375,75,75,96.875,53.125
2.86,37.5,65.625,40.625,46.875,59.375,28.125
2.88,-34.375,365.625,-40.625,-34.375,-56.25,-46.875
2.9,21.875,37.5,12.5,18.75,25,9.375
2.92,37.5,53.125,40.625,43.75,56.25,25
2.94,65.625,18.75,81.25,84.375,109.375,56.25
2.96,90.625,-53.125,100,112.5,146.875,78.125
2.98,90.625,-50,93.75,106.25,143.75,78.125
3,90.625,-25,90.625,109.375,143.75,71.875
3.02,56.25,203.125,65.625,81.25,106.25,37.5
3.04,65.625,159.375,75,90.625,121.875,50
3.06,-90.625,681.25,-71.875,-75,-109.375,-100
3.08,93.75,-56.25,90.625,106.25,146.875,78.125
3.1,103.125,-90.625,87.5,128.125,171.875,81.25
3.12,103.125,-78.125,75,134.375,178.125,81.25
3.14,87.5,-59.375,59.375,112.5,146.875,68.75
3.16,40.625,109.375,15.625,56.25,71.875,25
3.18,-68.75,637.5,-90.625,-56.25,-84.375,-87.5
3.2,25,206.25,-12.5,46.875,53.125,6.25
3.22,75,-75,34.375,103.125,131.25,59.375
3.24,65.625,-68.75,43.75,87.5,121.875,56.25
3.26,62.5,-59.375,50,78.125,115.625,56.25
3.28,71.875,-62.5,56.25,96.875,137.5,62.5
3.3,87.5,-59.375,59.375,125,171.875,78.125
3.32,84.375,-18.75,53.125,118.75,168.75,78.125
3.34,-140.625,871.875,-131.25,-125,-159.375,-140.625
3.36,34.375,81.25,56.25,37.5,75,40.625
3.38,46.875,-75,71.875,43.75,84.375,46.875
3.4,15.625,-53.125,43.75,12.5,28.125,15.625
3.42,-71.875,-3.125,-18.75,-96.875,-137.5,-3.125
3.44,-240.625,65.625,-159.375,-315.625,-453.125,96.875
3.46,-393.75,118.75,-325,-506.25,-725,59.375
3.48,-325,-262.5,-318.75,-450,-625,181.25
3.5,-359.375,-450,-400,-462.5,-625,203.125
3.52,-209.375,-1053.125,-278.125,-284.375,-343.75,140.625
3.54,-240.625,-356.25,-246.875,-287.5,-362.5,-25
3.56,265.625,568.75,409.375,275,446.875,-425
3.58,953.125,3612.5,1734.375,1165.625,2362.5,-1606.25
3.6,-712.5,950,-1543.75,-834.375,1553.125,381.25
3.62,-1159.375,559.375,-1578.125,-1143.75,-2456.25,-1253.125
3.64,-1396.875,140.625,-1087.5,-1581.25,-1509.375,-1356.25
3.66,-606.25,-237.5,-425,-715.625,-1153.125,-575
3.68,-384.375,-681.25,-281.25,-425,387.5,-281.25
3.7,-265.625,-768.75,-243.75,-278.125,703.125,62.5
3.72,-118.75,-75,-121.875,-106.25,-68.75,50
3.74,-68.75,-3.125,-75,-53.125,-43.75,43.75
3.76,-34.375,12.5,-37.5,-18.75,-34.375,40.625
3.78,-21.875,12.5,-21.875,-6.25,-28.125,40.625
3.8,-25,0,-21.875,-12.5,0,37.5
3.82,-15.625,-3.125,-12.5,-6.25,-6.25,34.375
3.84,-9.375,0,-6.25,-3.125,-6.25,31.25
3.86,-6.25,0,-3.125,3.125,3.125,28.125
3.88,0,0,0,6.25,6.25,28.125
3.9,0,0,3.125,6.25,6.25,25
3.92,0,-9.375,3.125,3.125,6.25,28.125
3.94,0,-3.125,3.125,0,0,25
3.96,-3.125,-3.125,0,-3.125,-3.125,25
3.98,-3.125,-3.125,0,-3.125,-9.375,15.625
4,-6.25,-6.25,-3.125,-6.25,3.125,15.625
4.02,-3.125,-6.25,0,0,-3.125,15.625
4.04,-3.125,-6.25,0,0,-3.125,15.625
4.06,-3.125,-6.25,0,-3.125,-3.125,15.625
4.08,-6.25,-9.375,-3.125,-6.25,-6.25,15.625
4.1,-6.25,-9.375,-3.125,-6.25,-9.375,15.625
4.12,-9.375,-9.375,-3.125,-6.25,-9.375,15.625
4.14,-9.375,-12.5,-6.25,-9.375,-9.375,15.625
4.16,-53.125,-12.5,-43.75,-46.875,-68.75,150
4.18,-150,-21.875,-131.25,-146.875,-206.25,506.25
4.2,-6.25,-37.5,-3.125,-3.125,-9.375,15.625
4.22,28.125,-153.125,28.125,31.25,40.625,-9.375
4.24,-3.125,-15.625,0,0,0,-6.25
4.26,-3.125,-9.375,0,0,-3.125,-6.25
4.28,-6.25,-9.375,0,0,0,-6.25
4.3,-9.375,-6.25,0,0,-3.125,-6.25
4.32,-9.375,-9.375,-3.125,-3.125,-3.125,-6.25
4.34,-6.25,-9.375,-3.125,-3.125,-6.25,-3.125
4.36,-6.25,-12.5,-3.125,-3.125,-6.25,-3.125
4.38,-3.125,-12.5,-3.125,-3.125,-3.125,-3.125
4.4,-3.125,-12.5,-6.25,-3.125,-3.125,0
4.42,0,-9.375,0,0,0,-3.125
4.44,0,-9.375,0,3.125,0,0
4.46,0,-9.375,0,0,0,0
4.48,3.125,-6.25,3.125,3.125,3.125,0
4.5,3.125,-6.25,3.125,0,3.125,0
4.52,6.25,-3.125,9.375,0,6.25,-3.125
4.54,6.25,-6.25,9.375,3.125,6.25,0
4.56,18.75,-18.75,15.625,15.625,18.75,6.25
4.58,50,-9.375,53.125,40.625,43.75,12.5
4.6,3.125,-12.5,25,-3.125,0,-3.125
4.62,-3.125,-9.375,9.375,-6.25,-6.25,-3.125
4.64,6.25,-6.25,0,-3.125,-3.125,3.125
4.66,3.125,-6.25,0,0,0,3.125
4.68,3.125,-6.25,-3.125,0,0,3.125
4.7,0,-6.25,-3.125,0,-3.125,3.125
4.72,0,-9.375,-3.125,-3.125,-3.125,3.125
4.74,-3.125,-9.375,-3.125,-3.125,-6.25,3.125
4.76,-3.125,-9.375,-3.125,-3.125,-6.25,0
4.78,-3.125,-9.375,-3.125,-3.125,-6.25,3.125
4.8,-3.125,-9.375,-3.125,-3.125,-3.125,3.125
4.82,-3.125,-9.375,-3.125,-3.125,-3.125,3.125
4.84,0,-9.375,-3.125,-3.125,-3.125,3.125
4.86,-3.125,-9.375,-3.125,-3.125,-3.125,3.125
4.88,-3.125,-9.375,-3.125,-3.125,-3.125,0
4.9,-3.125,-9.375,-3.125,-3.125,-6.25,0
