Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,0,0,3.125,0,-3.125
0.02,0,0,0,0,0,-3.125
0.04,0,0,0,0,0,0
0.06,0,0,0,3.125,0,-3.125
0.08,0,0,0,0,3.125,-3.125
0.1,0,0,0,0,0,-3.125
0.12,0,0,3.125,0,0,0
0.14,0,0,0,0,0,-3.125
0.16,0,0,0,3.125,0,0
0.18,0,0,0,0,0,0
0.2,0,0,0,0,3.125,-3.125
0.22,3.125,3.125,3.125,3.125,3.125,-3.125
0.24,3.125,6.25,3.125,6.25,6.25,-3.125
0.26,6.25,6.25,3.125,9.375,12.5,-3.125
0.28,6.25,6.25,3.125,6.25,9.375,0
0.3,3.125,6.25,3.125,6.25,6.25,-3.125
0.32,3.125,3.125,3.125,6.25,6.25,-3.125
0.34,0,0,0,0,0,3.125
0.36,0,0,0,0,3.125,0
0.38,0,0,0,3.125,3.125,0
0.4,0,3.125,0,3.125,3.125,0
0.42,0,3.125,0,3.125,3.125,0
0.44,3.125,6.25,3.125,6.25,9.375,0
0.46,6.25,9.375,6.25,9.375,12.5,-3.125
0.48,9.375,6.25,9.375,9.375,12.5,-6.25
0.5,12.5,6.25,12.5,9.375,15.625,-9.375
0.52,12.5,6.25,12.5,9.375,12.5,-6.25
0.54,15.625,6.25,12.5,9.375,15.625,-3.125
0.56,18.75,9.375,18.75,15.625,21.875,-6.25
0.58,18.75,12.5,18.75,15.625,21.875,-9.375
0.6,21.875,15.625,21.875,3.125,31.25,-3.125
0.62,18.75,12.5,15.625,15.625,15.625,0
0.64,15.625,9.375,9.375,9.375,15.625,3.125
0.66,18.75,9.375,9.375,12.5,15.625,0
0.68,18.75,9.375,15.625,15.625,18.75,-18.75
0.7,6.25,6.25,9.375,9.375,9.375,-18.75
0.72,-3.125,6.25,3.125,9.375,6.25,-12.5
0.74,25,31.25,18.75,31.25,31.25,-21.875
0.76,34.375,46.875,37.5,34.375,43.75,-43.75
0.78,37.5,50,40.625,28.125,40.625,-53.125
0.8,34.375,43.75,34.375,25,34.375,-53.125
