Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,0,0,0,3.125,-3.125
0.02,0,0,3.125,0,3.125,-3.125
0.04,0,0,0,3.125,3.125,-3.125
0.06,3.125,0,3.125,3.125,3.125,-3.125
0.08,3.125,3.125,3.125,3.125,3.125,-3.125
0.1,3.125,0,3.125,3.125,3.125,-3.125
0.12,3.125,3.125,3.125,3.125,6.25,-6.25
0.14,3.125,6.25,6.25,6.25,9.375,-9.375
0.16,3.125,6.25,6.25,6.25,9.375,-9.375
0.18,3.125,6.25,6.25,6.25,6.25,-9.375
0.2,3.125,6.25,6.25,6.25,9.375,-9.375
0.22,3.125,9.375,6.25,6.25,9.375,-12.5
0.24,6.25,12.5,9.375,9.375,15.625,-15.625
0.26,6.25,9.375,12.5,9.375,12.5,-9.375
0.28,9.375,9.375,9.375,9.375,12.5,-6.25
0.3,6.25,9.375,9.375,6.25,9.375,-3.125
0.32,9.375,9.375,9.375,6.25,12.5,-9.375
0.34,0,6.25,3.125,0,3.125,-12.5
0.36,-6.25,3.125,-3.125,-3.125,0,-12.5
0.38,-6.25,3.125,0,0,3.125,-12.5
0.4,3.125,12.5,9.375,9.375,12.5,-15.625
0.42,9.375,12.5,12.5,12.5,18.75,-12.5
0.44,9.375,9.375,12.5,9.375,15.625,-6.25
0.46,9.375,6.25,9.375,9.375,15.625,-3.125
0.48,12.5,9.375,12.5,9.375,15.625,-3.125
0.5,12.5,6.25,12.5,9.375,15.625,0
0.52,15.625,6.25,9.375,9.375,12.5,0
0.54,9.375,3.125,6.25,6.25,9.375,0
0.56,9.375,0,6.25,3.125,6.25,0
0.58,6.25,0,3.125,3.125,3.125,-3.125
0.6,3.125,-3.125,0,0,0,0
0.62,3.125,-3.125,0,0,3.125,-3.125
0.64,3.125,0,3.125,3.125,3.125,-12.5
0.66,12.5,9.375,18.75,15.625,18.75,-25
0.68,21.875,15.625,28.125,25,25,6.25
0.7,15.625,6.25,18.75,18.75,15.625,40.625
0.72,12.5,3.125,12.5,9.375,9.375,40.625
0.74,9.375,0,3.125,6.25,3.125,28.125
0.76,3.125,-3.125,-3.125,3.125,3.125,21.875
0.78,3.125,-6.25,-3.125,0,0,15.625
0.8,3.125,-6.25,-3.125,0,0,6.25
0.82,3.125,-6.25,0,0,0,0
0.84,6.25,-3.125,0,0,3.125,-3.125
0.86,6.25,-3.125,0,0,3.125,-3.125
0.88,6.25,-6.25,-3.125,3.125,3.125,-3.125
0.9,3.125,-3.125,0,0,3.125,-6.25
0.92,6.25,0,3.125,3.125,3.125,-6.25
0.94,6.25,0,3.125,3.125,6.25,-6.25
0.96,6.25,3.125,3.125,6.25,9.375,-6.25
0.98,6.25,3.125,6.25,9.375,9.375,-6.25
1,9.375,6.25,3.125,9.375,12.5,-3.125
1.02,9.375,6.25,-3.125,6.25,12.5,-3.125
1.04,6.25,6.25,-9.375,3.125,6.25,-3.125
1.06,6.25,6.25,-3.125,3.125,6.25,-6.25
1.08,6.25,6.25,6.25,6.25,9.375,-6.25
1.1,6.25,6.25,6.25,6.25,9.375,-6.25
1.12,6.25,6.25,6.25,6.25,9.375,-6.25
1.14,3.125,12.5,6.25,6.25,6.25,-6.25
1.16,9.375,-12.5,12.5,12.5,15.625,-6.25
1.18,6.25,-3.125,6.25,9.375,9.375,-6.25
1.2,0,12.5,3.125,3.125,3.125,-6.25
1.22,6.25,-6.25,9.375,6.25,9.375,-6.25
1.24,3.125,3.125,6.25,6.25,6.25,-6.25
1.26,6.25,12.5,6.25,6.25,6.25,-6.25
1.28,9.375,3.125,12.5,9.375,15.625,-6.25
1.3,15.625,15.625,18.75,18.75,25,-9.375
1.32,25,-9.375,28.125,28.125,40.625,-12.5
1.34,21.875,28.125,21.875,25,34.375,-15.625
1.36,25,15.625,25,31.25,40.625,-15.625
1.38,28.125,15.625,28.125,34.375,46.875,-18.75
1.4,28.125,21.875,28.125,34.375,46.875,-18.75
1.42,28.125,21.875,28.125,31.25,46.875,-18.75
1.44,28.125,25,31.25,31.25,43.75,-15.625
1.46,25,-34.375,28.125,28.125,40.625,71.875
1.48,0,-6.25,9.375,6.25,9.375,162.5
1.5,21.875,50,28.125,25,40.625,40.625
1.52,37.5,-28.125,46.875,43.75,65.625,43.75
1.54,31.25,21.875,46.875,40.625,65.625,37.5
1.56,18.75,96.875,37.5,28.125,46.875,25
1.58,28.125,50,46.875,34.375,53.125,31.25
1.6,34.375,-18.75,56.25,37.5,62.5,46.875
1.62,15.625,87.5,43.75,18.75,37.5,25
1.64,37.5,-9.375,68.75,37.5,68.75,40.625
1.66,34.375,12.5,78.125,34.375,65.625,43.75
1.68,34.375,34.375,87.5,31.25,62.5,46.875
1.7,18.75,118.75,87.5,12.5,43.75,28.125
1.72,9.375,168.75,96.875,0,31.25,21.875
1.74,6.25,184.375,118.75,-9.375,21.875,25
1.76,12.5,103.125,168.75,0,43.75,40.625
1.78,3.125,131.25,200,-12.5,37.5,34.375
1.8,0,109.375,234.375,-12.5,37.5,28.125
1.82,-28.125,184.375,240.625,-34.375,6.25,3.125
1.84,-40.625,168.75,243.75,-43.75,-12.5,0
1.86,-28.125,50,240.625,-28.125,0,18.75
1.88,-25,3.125,212.5,-21.875,0,12.5
1.9,-15.625,-25,162.5,-9.375,0,9.375
1.92,-6.25,-50,93.75,-3.125,0,12.5
1.94,0,-62.5,40.625,0,3.125,6.25
1.96,-3.125,-34.375,31.25,3.125,0,-15.625
1.98,-6.25,-21.875,43.75,0,-3.125,-31.25
2,0,-50,12.5,3.125,0,-9.375
2.02,6.25,-68.75,-37.5,3.125,-3.125,15.625
2.04,9.375,-71.875,-18.75,3.125,0,18.75
2.06,-3.125,-46.875,37.5,-3.125,0,3.125
2.08,-9.375,-25,62.5,-9.375,-3.125,3.125
2.1,-9.375,-21.875,75,-12.5,-3.125,12.5
2.12,-15.625,-21.875,131.25,-12.5,-3.125,3.125
2.14,-25,-28.125,196.875,-15.625,0,-6.25
2.16,-28.125,-9.375,209.375,-18.75,-3.125,-12.5
2.18,-28.125,9.375,203.125,-18.75,-6.25,-21.875
2.2,-34.375,34.375,215.625,-21.875,-9.375,-46.875
2.22,-28.125,12.5,221.875,-15.625,-6.25,-46.875
2.24,-18.75,3.125,162.5,-12.5,-6.25,-37.5
2.26,-6.25,3.125,71.875,-6.25,0,-21.875
2.28,6.25,-3.125,-15.625,3.125,0,-6.25
2.3,12.5,15.625,-103.125,3.125,-6.25,0
2.32,18.75,37.5,-196.875,6.25,-9.375,9.375
2.34,34.375,34.375,-334.375,12.5,-12.5,34.375
2.36,56.25,59.375,-550,21.875,-18.75,53.125
2.38,71.875,103.125,-818.75,21.875,-50,56.25
2.4,56.25,143.75,-978.125,-3.125,-118.75,-9.375
2.42,-37.5,165.625,-906.25,-84.375,-240.625,-59.375
2.44,-90.625,156.25,-618.75,-106.25,-256.25,-334.375
2.46,-150,112.5,-375,-150,-271.875,-328.125
2.48,-165.625,59.375,-228.125,-156.25,-256.25,-200
2.5,206.25,-768.75,171.875,221.875,309.375,3.125
2.52,-84.375,-237.5,-62.5,-75,-96.875,62.5
2.54,-109.375,-87.5,-71.875,-100,-128.125,34.375
2.56,-96.875,-75,-59.375,-90.625,-106.25,3.125
2.58,-53.125,-46.875,-15.625,-46.875,-37.5,-34.375
2.6,65.625,46.875,93.75,68.75,125,-100
2.62,350,390.625,475,334.375,528.125,-262.5
2.64,221.875,1453.125,2750,375,1118.75,-721.875
2.66,12.5,956.25,-1896.875,-171.875,-984.375,1025
2.68,-709.375,431.25,-1053.125,-612.5,-65.625,-784.375
2.7,-256.25,46.875,-237.5,-250,-215.625,-312.5
2.72,12.5,-112.5,56.25,-15.625,-671.875,6.25
2.74,100,-396.875,156.25,71.875,-350,71.875
2.76,-215.625,-581.25,-153.125,-237.5,762.5,50
2.78,-75,-231.25,-40.625,-78.125,28.125,15.625
2.8,-53.125,-6.25,-28.125,-50,-40.625,3.125
2.82,-25,18.75,-6.25,-25,-15.625,0
2.84,-18.75,21.875,-3.125,-12.5,-9.375,3.125
2.86,-28.125,37.5,-12.5,-21.875,-21.875,6.25
2.88,-15.625,-28.125,-3.125,-9.375,-9.375,9.375
2.9,-25,-3.125,-9.375,-18.75,-25,9.375
2.92,-25,-3.125,-12.5,-21.875,-25,9.375
2.94,-21.875,-3.125,-9.375,-15.625,-21.875,9.375
2.96,-18.75,-3.125,-9.375,-15.625,-18.75,9.375
2.98,-15.625,-3.125,-6.25,-12.5,-15.625,6.25
3,-12.5,-3.125,-3.125,-9.375,-12.5,6.25
3.02,-12.5,-3.125,-3.125,-9.375,-9.375,3.125
3.04,-9.375,0,-3.125,-9.375,-9.375,3.125
3.06,-9.375,-3.125,0,-6.25,-6.25,3.125
3.08,-9.375,0,0,-9.375,-9.375,3.125
3.1,-9.375,0,-3.125,-6.25,-9.375,3.125
3.12,-9.375,-3.125,-3.125,-9.375,-9.375,3.125
3.14,-9.375,-6.25,-3.125,-9.375,-9.375,3.125
3.16,-9.375,-3.125,-3.125,-6.25,-9.375,3.125
3.18,-9.375,-3.125,-3.125,-9.375,-9.375,0
3.2,-6.25,-3.125,0,-6.25,-6.25,0
3.22,-3.125,0,0,-6.25,-6.25,0
3.24,-3.125,0,0,-6.25,-3.125,0
3.26,-3.125,0,3.125,-3.125,-3.125,0
3.28,-6.25,0,3.125,0,0,0
3.3,-3.125,3.125,3.125,0,0,0
3.32,9.375,-40.625,12.5,9.375,15.625,0
3.34,-3.125,15.625,0,-3.125,-6.25,0
3.36,-3.125,-3.125,3.125,-3.125,0,0
3.38,-9.375,34.375,-6.25,-12.5,-12.5,0
3.4,-3.125,-3.125,0,-3.125,-3.125,0
3.42,-3.125,0,0,-3.125,-3.125,0
3.44,-3.125,0,0,-6.25,-3.125,0
3.46,0,-6.25,3.125,-3.125,0,0
3.48,-3.125,3.125,0,-3.125,-3.125,0
3.5,-3.125,0,0,-3.125,-3.125,0
3.52,-3.125,0,0,-3.125,-3.125,-3.125
3.54,-9.375,3.125,-6.25,-12.5,-6.25,-3.125
3.56,-3.125,0,-9.375,-6.25,-6.25,3.125
3.58,-3.125,-3.125,-9.375,-9.375,-9.375,3.125
3.6,-9.375,-6.25,-9.375,-9.375,-12.5,0
3.62,-9.375,-6.25,-6.25,-6.25,-9.375,0
3.64,-6.25,-3.125,0,-3.125,-3.125,0
3.66,-6.25,0,0,-3.125,-3.125,0
3.68,-3.125,0,0,-3.125,-3.125,0
3.7,-3.125,0,0,-3.125,-3.125,3.125
3.72,3.125,0,0,0,0,6.25
3.74,6.25,0,3.125,0,0,9.375
3.76,6.25,0,3.125,0,0,9.375
3.78,6.25,-3.125,3.125,0,-3.125,12.5
3.8,3.125,-6.25,0,-3.125,-6.25,12.5
3.82,0,-6.25,-3.125,-6.25,-9.375,9.375
3.84,-3.125,-9.375,-3.125,-6.25,-9.375,6.25
3.86,0,-6.25,0,-3.125,-6.25,9.375
3.88,0,-6.25,-3.125,-3.125,-6.25,6.25
3.9,-3.125,-6.25,-3.125,-3.125,-6.25,6.25
3.92,-6.25,-9.375,-6.25,-6.25,-9.375,6.25
3.94,-15.625,-12.5,-12.5,-12.5,-15.625,0
3.96,-25,-12.5,-18.75,-15.625,-18.75,-3.125
3.98,-28.125,-12.5,-21.875,-18.75,-25,-6.25
4,-28.125,-12.5,-21.875,-18.75,-21.875,-6.25
4.02,-25,-9.375,-15.625,-15.625,-18.75,-6.25
4.04,-15.625,-3.125,-6.25,-9.375,-12.5,-6.25
4.06,-9.375,0,0,-6.25,-3.125,-6.25
4.08,-3.125,3.125,6.25,0,0,-6.25
4.1,0,3.125,9.375,0,0,-3.125
4.12,3.125,0,3.125,0,-3.125,9.375
4.14,9.375,-3.125,3.125,-3.125,-6.25,15.625
4.16,9.375,0,3.125,0,-6.25,9.375
4.18,6.25,0,3.125,0,-3.125,6.25
4.2,3.125,-3.125,0,0,-3.125,6.25
4.22,3.125,-6.25,0,-3.125,-3.125,9.375
4.24,3.125,-3.125,-3.125,-3.125,-3.125,6.25
4.26,3.125,-3.125,0,-3.125,-3.125,6.25
4.28,0,-3.125,0,-3.125,-3.125,3.125
4.3,0,-3.125,0,-3.125,-6.25,3.125
4.32,-3.125,-3.125,0,-6.25,-6.25,0
4.34,-6.25,0,0,-3.125,-3.125,0
4.36,-6.25,0,0,-3.125,-3.125,0
4.38,-3.125,0,0,-3.125,-3.125,0
4.4,-3.125,0,0,-3.125,-3.125,0
4.42,-3.125,0,0,0,-3.125,0
4.44,-3.125,0,0,-3.125,-3.125,0
4.46,-3.125,-3.125,-3.125,-3.125,-6.25,3.125
4.48,-6.25,-3.125,-3.125,-6.25,-3.125,3.125
4.5,-3.125,-3.125,-3.125,-3.125,-6.25,0
4.52,-6.25,-3.125,-3.125,-6.25,-6.25,3.125
4.54,-6.25,-3.125,-3.125,-6.25,-9.375,3.125
4.56,-6.25,-3.125,-3.125,-6.25,-9.375,3.125
4.58,-6.25,-3.125,-3.125,-6.25,-9.375,3.125
4.6,-6.25,-3.125,-3.125,-6.25,-6.25,0
4.62,-6.25,-3.125,-3.125,-3.125,-6.25,-3.125
4.64,-6.25,-3.125,0,-3.125,-6.25,0
4.66,-6.25,-3.125,0,-3.125,-6.25,0
4.68,-3.125,-3.125,0,-3.125,-6.25,0
4.7,-3.125,-3.125,-3.125,-3.125,-3.125,0
4.72,-3.125,0,0,-3.125,-3.125,0
4.74,-3.125,-3.125,-3.125,-3.125,-3.125,0
4.76,-3.125,-3.125,-3.125,-3.125,-6.25,0
4.78,-3.125,-3.125,0,-3.125,-3.125,0
4.8,-3.125,-3.125,0,-3.125,-6.25,0
4.82,-3.125,0,0,-3.125,-3.125,0
4.84,-3.125,-3.125,0,-3.125,-3.125,0
4.86,-3.125,-3.125,0,-3.125,-3.125,0
4.88,-3.125,0,0,-3.125,-3.125,0
4.9,-3.125,-3.125,0,-3.125,-3.125,0
4.92,-3.125,-3.125,0,-3.125,-3.125,0
4.94,-3.125,0,0,-3.125,-3.125,0
4.96,-3.125,-3.125,0,-3.125,-3.125,0
4.98,-3.125,-3.125,0,-3.125,-3.125,3.125
5,-3.125,-3.125,0,-3.125,-6.25,0
5.02,-3.125,-3.125,-3.125,-3.125,-3.125,0
5.04,-3.125,-3.125,0,-3.125,-3.125,0
5.06,-3.125,-3.125,-3.125,-3.125,-3.125,0
5.08,-3.125,-3.125,0,-3.125,-6.25,0
5.1,-3.125,-3.125,0,-3.125,-6.25,0
5.12,-3.125,-3.125,0,-3.125,-6.25,0
5.14,-3.125,-3.125,-3.125,-3.125,-6.25,0
5.16,-3.125,-3.125,-3.125,-3.125,-6.25,0
5.18,-3.125,-3.125,0,-3.125,-3.125,0
5.2,-3.125,-3.125,0,-3.125,-6.25,0
