Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,6.25,-6.25,3.125,-3.125,-6.25,6.25
0.02,3.125,-6.25,3.125,-3.125,-6.25,3.125
0.04,3.125,-6.25,3.125,-3.125,-6.25,3.125
0.06,3.125,-6.25,3.125,-3.125,-6.25,3.125
0.08,6.25,-6.25,3.125,-3.125,-6.25,6.25
0.1,6.25,-6.25,6.25,-3.125,-6.25,6.25
0.12,15.625,-6.25,15.625,-9.375,-3.125,15.625
0.14,9.375,-6.25,12.5,-9.375,-3.125,9.375
0.16,3.125,0,6.25,-9.375,3.125,3.125
0.18,0,0,3.125,-9.375,3.125,0
0.2,3.125,-3.125,3.125,-6.25,-3.125,3.125
0.22,6.25,-9.375,6.25,-3.125,-6.25,6.25
0.24,6.25,-6.25,3.125,-3.125,-6.25,6.25
0.26,3.125,-9.375,3.125,-3.125,-9.375,6.25
0.28,9.375,-15.625,6.25,3.125,-18.75,9.375
0.3,9.375,-12.5,3.125,3.125,-15.625,9.375
0.32,6.25,-9.375,3.125,-3.125,-12.5,3.125
0.34,6.25,-15.625,3.125,-3.125,-15.625,6.25
0.36,3.125,-15.625,0,-6.25,-18.75,3.125
0.38,-6.25,-9.375,-6.25,-21.875,-12.5,-6.25
0.4,-15.625,-9.375,-9.375,-34.375,-12.5,-12.5
0.42,-12.5,-9.375,-6.25,-37.5,-12.5,-9.375
0.44,-9.375,-12.5,-3.125,-34.375,-9.375,-6.25
0.46,-6.25,-12.5,0,-31.25,-6.25,-3.125
0.48,-3.125,-9.375,0,-28.125,-6.25,-3.125
0.5,-12.5,3.125,-3.125,-25,6.25,-15.625
0.52,-21.875,12.5,-9.375,-31.25,21.875,-28.125
0.54,-12.5,3.125,-3.125,-21.875,15.625,12.5
0.56,31.25,-12.5,28.125,0,6.25,3.125
0.58,65.625,-25,50,46.875,-6.25,62.5
0.6,71.875,-15.625,53.125,59.375,3.125,81.25
0.62,203.125,3.125,181.25,-278.125,25,218.75
0.64,103.125,12.5,90.625,-3.125,31.25,93.75
0.66,71.875,-9.375,62.5,50,-12.5,56.25
0.68,96.875,-78.125,71.875,34.375,-75,103.125
0.7,93.75,-84.375,56.25,65.625,-84.375,103.125
0.72,87.5,-53.125,43.75,96.875,-46.875,87.5
0.74,109.375,-21.875,53.125,109.375,0,87.5
0.76,175,-6.25,93.75,118.75,37.5,125
0.78,262.5,-21.875,121.875,128.125,40.625,168.75
0.8,181.25,-31.25,43.75,140.625,9.375,100
0.82,6.25,-6.25,-31.25,62.5,3.125,-12.5
0.84,-43.75,-3.125,-43.75,12.5,-9.375,-31.25
0.86,-62.5,0,-40.625,-18.75,-6.25,-37.5
0.88,-68.75,3.125,-40.625,-34.375,-6.25,-40.625
0.9,-59.375,-3.125,-40.625,-65.625,-12.5,-46.875
0.92,-62.5,-6.25,-43.75,-43.75,-15.625,-53.125
0.94,-50,-6.25,-31.25,-25,-18.75,-43.75
0.96,-40.625,-6.25,-21.875,-12.5,-15.625,-28.125
0.98,9.375,-6.25,31.25,-100,-12.5,-15.625
1,-34.375,-3.125,-12.5,-18.75,-9.375,-6.25
1.02,-31.25,-3.125,-9.375,-12.5,-9.375,-21.875
1.04,-28.125,-3.125,-9.375,-12.5,-9.375,-21.875
1.06,-25,-6.25,-6.25,-12.5,-9.375,-18.75
1.08,-15.625,-9.375,0,-9.375,-9.375,-12.5
1.1,9.375,-6.25,25,-53.125,-3.125,43.75
1.12,-15.625,-6.25,12.5,9.375,-15.625,-34.375
1.14,25,-21.875,46.875,9.375,-21.875,-68.75
1.16,56.25,-15.625,71.875,-6.25,-15.625,-71.875
1.18,12.5,-9.375,28.125,-18.75,-9.375,28.125
1.2,-21.875,-6.25,-3.125,-50,-9.375,150
1.22,65.625,-3.125,78.125,-84.375,-6.25,65.625
1.24,56.25,9.375,65.625,-184.375,-3.125,28.125
1.26,40.625,-6.25,50,-93.75,-15.625,21.875
1.28,50,-6.25,53.125,0,-12.5,-71.875
1.3,-275,140.625,-243.75,371.875,-9.375,-37.5
1.32,-53.125,181.25,-40.625,-21.875,-3.125,-25
1.34,28.125,21.875,28.125,25,-3.125,-18.75
1.36,28.125,15.625,28.125,25,-3.125,-21.875
1.38,12.5,6.25,15.625,12.5,-3.125,-21.875
1.4,15.625,9.375,15.625,15.625,-6.25,-28.125
1.42,31.25,18.75,28.125,21.875,-3.125,-34.375
1.44,40.625,25,37.5,31.25,3.125,-31.25
1.46,43.75,12.5,37.5,34.375,-6.25,-18.75
1.48,37.5,15.625,28.125,15.625,-21.875,-6.25
1.5,56.25,31.25,37.5,-28.125,-25,-6.25
1.52,-46.875,-25,-59.375,-37.5,-9.375,271.875
1.54,31.25,28.125,9.375,-18.75,0,34.375
1.56,12.5,12.5,-6.25,-3.125,3.125,0
1.58,3.125,3.125,-9.375,3.125,3.125,-15.625
1.6,3.125,3.125,-6.25,-3.125,0,-12.5
1.62,18.75,15.625,6.25,-15.625,-3.125,6.25
1.64,53.125,-12.5,31.25,-25,-3.125,43.75
1.66,50,-12.5,21.875,-18.75,-3.125,40.625
1.68,50,50,15.625,-28.125,-6.25,12.5
1.7,96.875,106.25,43.75,-9.375,-6.25,-46.875
1.72,106.25,56.25,50,40.625,-6.25,-46.875
1.74,103.125,53.125,43.75,12.5,-6.25,-6.25
1.76,40.625,3.125,-25,-43.75,-12.5,265.625
1.78,153.125,59.375,53.125,-46.875,-12.5,81.25
1.8,168.75,56.25,56.25,-40.625,-9.375,62.5
1.82,171.875,65.625,56.25,-34.375,-6.25,43.75
1.84,187.5,65.625,56.25,-34.375,-9.375,40.625
1.86,234.375,53.125,56.25,-37.5,-12.5,50
1.88,259.375,40.625,53.125,-34.375,-9.375,46.875
1.9,231.25,31.25,40.625,-15.625,-3.125,31.25
1.92,196.875,31.25,21.875,-3.125,0,9.375
1.94,206.25,34.375,6.25,-6.25,-3.125,-3.125
1.96,237.5,37.5,0,-9.375,-3.125,-3.125
1.98,187.5,34.375,-6.25,3.125,0,-6.25
2,112.5,37.5,-12.5,12.5,6.25,-12.5
2.02,15.625,53.125,-18.75,25,12.5,-18.75
2.04,-81.25,56.25,-25,34.375,15.625,-28.125
2.06,-131.25,65.625,-28.125,31.25,15.625,-34.375
2.08,-143.75,53.125,-25,28.125,15.625,-34.375
2.1,-87.5,18.75,-18.75,18.75,9.375,-28.125
2.12,-28.125,9.375,-15.625,6.25,6.25,-25
2.14,56.25,-9.375,-9.375,-6.25,0,-15.625
2.16,146.875,-43.75,-3.125,-12.5,-3.125,-3.125
2.18,237.5,-75,0,-21.875,-9.375,6.25
2.2,265.625,-75,6.25,-18.75,-9.375,9.375
2.22,200,-59.375,9.375,-6.25,-6.25,6.25
2.24,175,-75,6.25,0,-6.25,6.25
2.26,218.75,-103.125,9.375,-3.125,-9.375,12.5
2.28,150,-78.125,9.375,6.25,-3.125,12.5
2.3,-40.625,-3.125,-3.125,25,6.25,0
2.32,-181.25,34.375,-12.5,37.5,12.5,-12.5
2.34,-231.25,31.25,-21.875,37.5,15.625,-15.625
2.36,-259.375,25,-21.875,34.375,15.625,-18.75
2.38,-278.125,28.125,-28.125,31.25,15.625,-25
2.4,-268.75,25,-31.25,25,12.5,-28.125
2.42,-253.125,15.625,-31.25,18.75,12.5,-31.25
2.44,-293.75,18.75,-40.625,46.875,15.625,-40.625
2.46,-378.125,12.5,-56.25,84.375,18.75,-56.25
2.48,-471.875,-25,-78.125,81.25,25,-12.5
2.5,-568.75,-109.375,-115.625,71.875,28.125,68.75
2.52,-609.375,-218.75,-156.25,81.25,31.25,87.5
