Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,-3.125,0,-6.25,-6.25,-3.125,-3.125
0.02,-3.125,0,-6.25,-6.25,-3.125,-3.125
0.04,-3.125,0,-6.25,-6.25,-3.125,-3.125
0.06,-3.125,-3.125,-3.125,-6.25,-3.125,-3.125
0.08,0,-3.125,0,0,-3.125,-6.25
0.1,-3.125,-6.25,9.375,9.375,-3.125,-9.375
0.12,-3.125,-3.125,3.125,3.125,-3.125,-6.25
0.14,3.125,-3.125,3.125,-3.125,0,-6.25
0.16,-3.125,-3.125,3.125,0,-3.125,-3.125
0.18,-28.125,3.125,-6.25,6.25,-12.5,3.125
0.2,-28.125,9.375,-15.625,-3.125,-12.5,3.125
0.22,-15.625,0,-15.625,-9.375,-9.375,3.125
0.24,-6.25,-6.25,-9.375,-6.25,-6.25,6.25
0.26,3.125,-6.25,-3.125,-3.125,-3.125,0
0.28,15.625,-6.25,3.125,-3.125,0,-6.25
0.3,15.625,-9.375,3.125,-3.125,0,-3.125
0.32,6.25,-9.375,-3.125,-3.125,-3.125,6.25
0.34,6.25,-9.375,-6.25,-6.25,-3.125,6.25
0.36,6.25,-9.375,3.125,0,0,3.125
0.38,-3.125,-6.25,0,0,-3.125,0
0.4,-15.625,0,-3.125,0,-6.25,6.25
0.42,-28.125,3.125,-9.375,3.125,-12.5,12.5
0.44,-28.125,3.125,-9.375,0,-12.5,12.5
0.46,-18.75,0,-6.25,3.125,-9.375,9.375
0.48,-18.75,3.125,-9.375,0,-12.5,9.375
0.5,-9.375,0,-12.5,-6.25,-9.375,6.25
0.52,-18.75,0,-6.25,-3.125,-9.375,3.125
0.54,-37.5,3.125,-9.375,0,-12.5,6.25
0.56,-53.125,9.375,-15.625,0,-12.5,6.25
0.58,-43.75,12.5,-15.625,0,-12.5,6.25
0.6,-40.625,12.5,-21.875,-3.125,-12.5,9.375
0.62,-46.875,18.75,-31.25,-9.375,-12.5,15.625
0.64,-46.875,6.25,-31.25,-3.125,-34.375,21.875
0.66,-46.875,6.25,-21.875,6.25,-50,9.375
0.68,-37.5,6.25,-34.375,-12.5,-25,3.125
0.7,0,3.125,-28.125,-25,0,-9.375
0.72,153.125,-21.875,-65.625,-87.5,15.625,-21.875
0.74,221.875,-15.625,-78.125,-93.75,9.375,-31.25
0.76,-3.125,0,-9.375,-3.125,0,-9.375
0.78,9.375,6.25,-37.5,-28.125,-6.25,-3.125
0.8,-56.25,9.375,-3.125,-6.25,3.125,-15.625
0.82,-6.25,-31.25,21.875,-6.25,15.625,-12.5
0.84,-53.125,-28.125,-28.125,-18.75,-15.625,43.75
0.86,-140.625,-25,-93.75,-34.375,-68.75,115.625
0.88,-146.875,-3.125,-81.25,-25,-68.75,28.125
0.9,37.5,-6.25,-34.375,-9.375,-28.125,-56.25
0.92,156.25,0,-15.625,-3.125,-3.125,-75
0.94,146.875,-3.125,-50,-46.875,0,-50
0.96,128.125,-3.125,-46.875,-56.25,9.375,-68.75
0.98,253.125,-15.625,-50,-46.875,3.125,-53.125
1,290.625,-28.125,-56.25,-25,-9.375,-6.25
1.02,115.625,-15.625,28.125,62.5,6.25,-15.625
1.04,65.625,-9.375,75,93.75,21.875,-18.75
1.06,15.625,-3.125,93.75,90.625,53.125,-37.5
1.08,-9.375,0,106.25,90.625,65.625,-43.75
1.1,-40.625,6.25,103.125,90.625,53.125,-37.5
1.12,-62.5,15.625,90.625,78.125,37.5,-25
1.14,-65.625,15.625,68.75,75,21.875,-31.25
1.16,-9.375,12.5,59.375,12.5,12.5,-28.125
1.18,-53.125,9.375,62.5,40.625,6.25,-21.875
1.2,153.125,3.125,-40.625,-65.625,0,-28.125
1.22,31.25,0,40.625,31.25,-3.125,-31.25
1.24,37.5,-3.125,53.125,46.875,-9.375,-31.25
1.26,-53.125,-6.25,100,96.875,-12.5,-28.125
1.28,-75,-6.25,103.125,103.125,-15.625,-28.125
1.3,187.5,-12.5,-6.25,-21.875,-18.75,-28.125
1.32,128.125,-12.5,40.625,31.25,-21.875,-28.125
1.34,53.125,-9.375,65.625,59.375,-18.75,-21.875
1.36,46.875,-9.375,59.375,53.125,-15.625,-18.75
1.38,40.625,-9.375,53.125,46.875,-15.625,-15.625
1.4,53.125,-12.5,65.625,59.375,-18.75,-18.75
