Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,-9.375,-9.375,-3.125,0,-12.5
0.02,0,-6.25,-6.25,-3.125,0,-12.5
0.04,0,-6.25,-6.25,0,3.125,-9.375
0.06,0,-6.25,-3.125,-3.125,0,-12.5
0.08,-3.125,3.125,6.25,-6.25,0,-12.5
0.1,0,6.25,9.375,-6.25,0,-12.5
0.12,0,3.125,9.375,-6.25,0,-12.5
0.14,0,6.25,9.375,-3.125,0,-12.5
0.16,0,9.375,15.625,-6.25,0,-12.5
0.18,0,6.25,12.5,-6.25,0,-12.5
0.2,0,3.125,9.375,-6.25,0,-12.5
0.22,0,-3.125,0,-3.125,3.125,-12.5
0.24,3.125,-6.25,-6.25,3.125,6.25,-9.375
0.26,3.125,-3.125,-6.25,3.125,9.375,-9.375
0.28,0,0,-3.125,3.125,9.375,-9.375
0.3,0,-3.125,-3.125,0,6.25,-9.375
0.32,0,-3.125,0,-3.125,0,-12.5
0.34,0,0,3.125,-3.125,0,-12.5
0.36,0,6.25,9.375,-6.25,0,-12.5
0.38,-3.125,9.375,12.5,-6.25,3.125,-15.625
0.4,-3.125,9.375,12.5,-9.375,3.125,-21.875
0.42,-3.125,9.375,15.625,-3.125,6.25,-25
0.44,-3.125,12.5,18.75,0,9.375,-25
0.46,-3.125,12.5,15.625,6.25,12.5,-21.875
0.48,0,9.375,12.5,6.25,12.5,-21.875
0.5,3.125,9.375,12.5,6.25,6.25,-18.75
0.52,9.375,9.375,15.625,0,-9.375,-18.75
0.54,6.25,-18.75,-12.5,-12.5,-28.125,-18.75
0.56,0,-37.5,-37.5,-12.5,-18.75,-18.75
0.58,0,-9.375,-9.375,-3.125,3.125,-9.375
0.6,6.25,-6.25,0,6.25,-6.25,-3.125
0.62,15.625,-25,0,9.375,-40.625,-6.25
0.64,25,-31.25,6.25,3.125,-9.375,-12.5
0.66,-18.75,9.375,-9.375,-46.875,78.125,-28.125
0.68,-12.5,56.25,15.625,-3.125,100,-9.375
0.7,3.125,59.375,28.125,9.375,68.75,-3.125
0.72,3.125,28.125,9.375,6.25,28.125,0
0.74,0,-3.125,-12.5,3.125,3.125,-3.125
0.76,-3.125,0,-12.5,0,6.25,-6.25
