Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,3.125,-9.375,-3.125,0,3.125,-3.125
0.02,3.125,-9.375,-6.25,0,3.125,-3.125
0.04,3.125,-6.25,-3.125,3.125,3.125,-3.125
0.06,3.125,-9.375,-6.25,3.125,3.125,-3.125
0.08,3.125,-9.375,-6.25,3.125,3.125,-3.125
0.1,3.125,-6.25,-3.125,0,0,-3.125
0.12,0,-3.125,3.125,0,0,-6.25
0.14,-3.125,6.25,15.625,-6.25,0,-6.25
0.16,0,0,9.375,-3.125,0,-3.125
0.18,0,-6.25,0,-3.125,0,-3.125
0.2,0,-6.25,0,-3.125,3.125,-3.125
0.22,3.125,0,6.25,-3.125,6.25,-6.25
0.24,6.25,0,3.125,3.125,9.375,-9.375
0.26,3.125,-3.125,0,0,9.375,-9.375
0.28,0,-3.125,-3.125,3.125,9.375,-9.375
0.3,-3.125,-3.125,-3.125,6.25,9.375,-9.375
0.32,-3.125,-6.25,-6.25,3.125,3.125,-3.125
0.34,-6.25,-9.375,-3.125,0,0,3.125
0.36,-6.25,0,9.375,-6.25,3.125,3.125
0.38,-6.25,9.375,18.75,-6.25,6.25,-3.125
0.4,-3.125,15.625,25,-3.125,9.375,-15.625
0.42,-6.25,12.5,18.75,0,12.5,-18.75
0.44,-6.25,9.375,12.5,3.125,15.625,-15.625
0.46,-3.125,6.25,6.25,3.125,15.625,-12.5
0.48,3.125,3.125,3.125,3.125,12.5,-9.375
0.5,6.25,-3.125,-6.25,3.125,9.375,-6.25
0.52,3.125,-9.375,-12.5,0,3.125,-9.375
0.54,0,-21.875,-21.875,-3.125,-9.375,-6.25
0.56,0,-25,-25,-3.125,-12.5,-6.25
0.58,-6.25,-28.125,-25,-12.5,-9.375,-3.125
0.6,-15.625,6.25,21.875,-3.125,18.75,3.125
0.62,15.625,56.25,81.25,12.5,18.75,12.5
0.64,6.25,9.375,18.75,12.5,-12.5,21.875
0.66,-6.25,-46.875,-53.125,3.125,-15.625,6.25
0.68,-3.125,-28.125,-31.25,6.25,-15.625,9.375
0.7,3.125,-12.5,-9.375,15.625,-18.75,21.875
0.72,6.25,-15.625,-9.375,18.75,-12.5,21.875
0.74,3.125,-18.75,-12.5,12.5,-9.375,12.5
0.76,0,-9.375,-6.25,3.125,-3.125,3.125
0.78,0,-3.125,3.125,0,0,0
0.8,0,3.125,12.5,-3.125,3.125,-3.125
0.82,3.125,9.375,18.75,-3.125,3.125,-3.125
0.84,3.125,15.625,28.125,-6.25,6.25,-9.375
0.86,3.125,25,40.625,-6.25,6.25,-9.375
0.88,6.25,31.25,50,-3.125,9.375,-9.375
0.9,6.25,37.5,62.5,-3.125,6.25,-6.25
0.92,6.25,40.625,71.875,-6.25,3.125,-6.25
0.94,6.25,40.625,68.75,-6.25,0,-6.25
0.96,0,28.125,53.125,-3.125,0,-6.25
0.98,0,31.25,53.125,0,0,-6.25
1,0,31.25,53.125,-3.125,3.125,-6.25
1.02,3.125,31.25,53.125,-3.125,3.125,-9.375
1.04,3.125,28.125,46.875,-3.125,3.125,-6.25
1.06,3.125,37.5,62.5,-6.25,3.125,-12.5
1.08,18.75,134.375,209.375,-21.875,3.125,-34.375
1.1,31.25,218.75,334.375,-25,6.25,-43.75
1.12,28.125,271.875,412.5,-25,9.375,-50
1.14,12.5,300,453.125,-28.125,9.375,-53.125
1.16,-9.375,350,521.875,-34.375,6.25,-65.625
1.18,-31.25,393.75,587.5,-40.625,3.125,-71.875
1.2,-40.625,387.5,575,-40.625,3.125,-65.625
1.22,-43.75,359.375,534.375,-37.5,3.125,-59.375
1.24,-46.875,350,525,-37.5,-3.125,-56.25
1.26,-43.75,356.25,534.375,-43.75,-3.125,-59.375
1.28,-37.5,337.5,503.125,-37.5,3.125,-50
1.3,-31.25,318.75,471.875,-34.375,6.25,-46.875
1.32,-34.375,340.625,503.125,-37.5,3.125,-53.125
1.34,-34.375,365.625,537.5,-40.625,6.25,-56.25
1.36,-28.125,365.625,528.125,-37.5,9.375,-53.125
1.38,-25,362.5,512.5,-31.25,12.5,-50
1.4,-28.125,396.875,559.375,-37.5,9.375,-59.375
1.42,-40.625,503.125,709.375,-59.375,3.125,-81.25
