Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,0,-3.125,-3.125,-3.125,0,-6.25
0.02,0,0,0,0,0,-3.125
0.04,-3.125,0,0,-3.125,0,-3.125
0.06,0,0,0,0,0,-3.125
0.08,0,0,0,0,0,-3.125
0.1,3.125,0,0,3.125,6.25,-6.25
0.12,6.25,3.125,0,3.125,6.25,-3.125
0.14,3.125,3.125,0,3.125,6.25,-3.125
0.16,3.125,0,0,0,3.125,-3.125
0.18,3.125,3.125,3.125,0,3.125,-6.25
0.2,3.125,3.125,3.125,0,6.25,-9.375
0.22,3.125,3.125,3.125,3.125,6.25,-9.375
0.24,3.125,3.125,3.125,0,3.125,-9.375
0.26,3.125,3.125,3.125,0,3.125,-9.375
0.28,0,3.125,3.125,0,3.125,-9.375
0.3,3.125,3.125,3.125,0,3.125,-6.25
0.32,0,0,3.125,0,3.125,-6.25
0.34,3.125,3.125,3.125,3.125,6.25,-6.25
0.36,3.125,6.25,6.25,3.125,6.25,-12.5
0.38,6.25,6.25,9.375,6.25,9.375,-18.75
0.4,3.125,6.25,6.25,6.25,9.375,-9.375
0.42,6.25,6.25,9.375,6.25,9.375,-9.375
0.44,6.25,6.25,9.375,6.25,9.375,-9.375
0.46,6.25,6.25,6.25,6.25,9.375,-9.375
0.48,3.125,6.25,3.125,3.125,6.25,-9.375
0.5,3.125,6.25,3.125,3.125,6.25,-6.25
0.52,0,6.25,-3.125,-3.125,3.125,-6.25
0.54,-6.25,0,-6.25,-9.375,-3.125,-6.25
0.56,-15.625,0,-15.625,-18.75,-12.5,-15.625
0.58,3.125,25,3.125,0,12.5,-18.75
0.6,15.625,28.125,15.625,15.625,21.875,3.125
0.62,21.875,18.75,18.75,21.875,25,18.75
0.64,37.5,21.875,34.375,40.625,37.5,46.875
0.66,37.5,15.625,31.25,46.875,34.375,65.625
0.68,3.125,-6.25,0,9.375,3.125,31.25
0.7,3.125,-3.125,0,6.25,3.125,15.625
0.72,0,-3.125,0,3.125,0,9.375
0.74,0,-25,0,0,0,0
0.76,-6.25,9.375,-6.25,-9.375,-9.375,-3.125
0.78,0,-6.25,0,-3.125,-3.125,-3.125
0.8,-3.125,0,-3.125,-9.375,-3.125,-6.25
0.82,3.125,-9.375,3.125,-6.25,3.125,-9.375
0.84,6.25,0,6.25,0,3.125,-9.375
0.86,12.5,3.125,12.5,9.375,12.5,-6.25
0.88,12.5,9.375,12.5,9.375,15.625,-6.25
0.9,18.75,12.5,18.75,15.625,18.75,-3.125
0.92,21.875,12.5,21.875,21.875,25,3.125
0.94,21.875,12.5,21.875,18.75,21.875,6.25
0.96,12.5,6.25,12.5,9.375,12.5,0
0.98,6.25,3.125,3.125,3.125,6.25,-6.25
1,3.125,0,3.125,0,6.25,-9.375
1.02,0,3.125,3.125,-3.125,3.125,-9.375
1.04,3.125,3.125,3.125,0,6.25,-9.375
1.06,6.25,6.25,6.25,3.125,9.375,-9.375
1.08,3.125,3.125,3.125,0,6.25,-9.375
1.1,6.25,6.25,-9.375,3.125,6.25,6.25
1.12,12.5,12.5,6.25,9.375,15.625,-6.25
1.14,34.375,31.25,40.625,25,46.875,-40.625
1.16,56.25,46.875,68.75,43.75,78.125,-59.375
1.18,75,59.375,87.5,59.375,100,-65.625
1.2,103.125,81.25,115.625,81.25,134.375,-78.125
1.22,131.25,109.375,150,109.375,181.25,-100
1.24,150,128.125,175,121.875,209.375,-125
1.26,165.625,146.875,193.75,134.375,234.375,-137.5
1.28,175,159.375,209.375,143.75,256.25,-143.75
1.3,200,200,237.5,165.625,293.75,-153.125
1.32,212.5,215.625,246.875,178.125,306.25,-121.875
1.34,215.625,209.375,250,184.375,306.25,-96.875
1.36,218.75,209.375,250,187.5,306.25,-87.5
1.38,231.25,228.125,246.875,190.625,312.5,-90.625
1.4,253.125,256.25,243.75,206.25,325,-96.875
1.42,250,243.75,187.5,196.875,290.625,-68.75
1.44,259.375,231.25,150,196.875,275,-59.375
1.46,312.5,250,150,225,306.25,-78.125
1.48,362.5,246.875,128.125,259.375,325,-81.25
1.5,356.25,175,71.875,268.75,287.5,-46.875
1.52,275,68.75,15.625,234.375,209.375,9.375
1.54,215.625,15.625,3.125,206.25,159.375,25
1.56,212.5,6.25,15.625,221.875,168.75,9.375
1.58,240.625,3.125,34.375,265.625,206.25,-15.625
1.6,246.875,-9.375,53.125,300,225,-25
1.62,218.75,-15.625,59.375,312.5,225,-18.75
1.64,203.125,-9.375,71.875,328.125,231.25,-25
1.66,218.75,3.125,87.5,362.5,253.125,-40.625
1.68,203.125,9.375,96.875,387.5,262.5,-37.5
1.7,184.375,9.375,103.125,409.375,265.625,-37.5
1.72,193.75,18.75,115.625,462.5,287.5,-53.125
1.74,187.5,31.25,115.625,465.625,271.875,-40.625
1.76,125,34.375,81.25,328.125,181.25,15.625
1.78,50,21.875,25,137.5,62.5,71.875
1.8,15.625,9.375,-12.5,28.125,-6.25,87.5
1.82,28.125,9.375,-28.125,-3.125,-34.375,81.25
1.84,15.625,3.125,-37.5,-50,-59.375,84.375
1.86,-3.125,-9.375,-43.75,-50,-62.5,75
1.88,34.375,-9.375,-31.25,40.625,-21.875,37.5
1.9,87.5,-3.125,-9.375,128.125,21.875,6.25
1.92,121.875,9.375,3.125,165.625,40.625,-6.25
1.94,131.25,9.375,12.5,206.25,59.375,-12.5
1.96,112.5,-12.5,31.25,353.125,109.375,-34.375
1.98,112.5,-25,59.375,543.75,178.125,-68.75
2,100,-18.75,75,643.75,206.25,-68.75
2.02,59.375,-6.25,71.875,568.75,175,-34.375
2.04,28.125,0,43.75,362.5,109.375,18.75
2.06,-12.5,9.375,3.125,-3.125,-3.125,96.875
2.08,-125,43.75,-90.625,-896.875,-262.5,281.25
2.1,-575,31.25,-315.625,-2093.75,-753.125,578.125
2.12,-1331.25,-150,-587.5,-2487.5,-1387.5,768.75
2.14,-1709.375,-450,-734.375,-1993.75,-1559.375,696.875
2.16,-1478.125,-650,-703.125,-1346.875,-1381.25,503.125
2.18,-1125,-428.125,-684.375,-953.125,-1175,325
2.2,-678.125,46.875,-487.5,-571.875,-762.5,-262.5
2.22,-25,-178.125,-46.875,-18.75,-12.5,-125
2.24,1546.875,-731.25,784.375,1318.75,1181.25,859.375
2.26,2159.375,-1300,981.25,2812.5,3721.875,1362.5
2.28,-2668.75,15.625,-1146.875,-3412.5,-2353.125,1984.375
2.3,-1634.375,-875,-1140.625,-1775,-2053.125,412.5
2.32,-934.375,-528.125,-696.875,-940.625,-1175,96.875
2.34,-478.125,-303.125,-390.625,-481.25,-628.125,-28.125
2.36,-131.25,-25,-118.75,-156.25,-203.125,-175
2.38,603.125,50,540.625,553.125,937.5,-1450
2.4,87.5,18.75,65.625,34.375,134.375,-325
2.42,12.5,-6.25,0,-40.625,3.125,-15.625
2.44,15.625,-9.375,3.125,-31.25,3.125,-12.5
2.46,3.125,-3.125,-6.25,-37.5,-9.375,21.875
2.48,12.5,3.125,0,-28.125,0,-12.5
2.5,9.375,6.25,0,-25,-3.125,-6.25
2.52,9.375,3.125,3.125,-21.875,0,0
2.54,21.875,3.125,15.625,-6.25,18.75,-34.375
2.56,25,0,21.875,0,25,-9.375
2.58,37.5,-3.125,31.25,9.375,40.625,-18.75
2.6,40.625,0,37.5,12.5,46.875,-18.75
2.62,37.5,6.25,31.25,12.5,40.625,-15.625
2.64,-18.75,193.75,-18.75,-40.625,-37.5,-12.5
2.66,-56.25,343.75,-53.125,-75,-87.5,-6.25
2.68,3.125,18.75,0,-12.5,-3.125,6.25
2.7,-3.125,-12.5,-6.25,-15.625,-9.375,18.75
2.72,-3.125,-15.625,-9.375,-18.75,-15.625,21.875
2.74,3.125,-12.5,-3.125,-12.5,-6.25,18.75
2.76,3.125,-9.375,-3.125,-12.5,-6.25,18.75
2.78,3.125,-9.375,-3.125,-12.5,-6.25,18.75
2.8,3.125,-9.375,-3.125,-12.5,-6.25,18.75
2.82,3.125,-6.25,0,-12.5,-3.125,15.625
2.84,6.25,-3.125,3.125,-6.25,0,9.375
2.86,12.5,3.125,6.25,-3.125,6.25,0
2.88,18.75,9.375,12.5,0,15.625,-9.375
2.9,-3.125,-9.375,-6.25,-15.625,-12.5,18.75
2.92,0,-50,-6.25,-15.625,-12.5,28.125
2.94,-6.25,3.125,-9.375,-21.875,-18.75,18.75
2.96,-3.125,3.125,-6.25,-18.75,-15.625,12.5
2.98,-3.125,0,-6.25,-21.875,-15.625,9.375
3,-9.375,-3.125,-12.5,-28.125,-21.875,6.25
3.02,-9.375,-3.125,-12.5,-31.25,-21.875,3.125
3.04,-12.5,-3.125,-12.5,-31.25,-21.875,3.125
3.06,-9.375,-3.125,-12.5,-28.125,-18.75,-3.125
3.08,-6.25,-3.125,-9.375,-15.625,-9.375,-12.5
3.1,-9.375,0,-6.25,-6.25,-3.125,-12.5
3.12,-18.75,9.375,-9.375,-28.125,-15.625,-18.75
3.14,-25,18.75,-21.875,-75,-43.75,-12.5
3.16,-46.875,6.25,-46.875,-75,-65.625,-9.375
3.18,-37.5,-3.125,-37.5,-46.875,-50,-6.25
3.2,-21.875,-6.25,-21.875,-28.125,-31.25,-3.125
3.22,-12.5,-3.125,-12.5,-18.75,-18.75,-3.125
3.24,-9.375,-3.125,-9.375,-15.625,-15.625,0
3.26,12.5,-121.875,9.375,6.25,15.625,0
3.28,-12.5,-18.75,-15.625,-21.875,-21.875,0
3.3,-9.375,-9.375,-12.5,-18.75,-15.625,0
3.32,-9.375,-6.25,-9.375,-15.625,-12.5,0
3.34,-12.5,-9.375,-12.5,-18.75,-18.75,0
3.36,-9.375,-9.375,-9.375,-18.75,-15.625,-3.125
3.38,-9.375,-9.375,-9.375,-18.75,-15.625,0
3.4,-9.375,-6.25,-9.375,-18.75,-15.625,0
3.42,-6.25,-6.25,-6.25,-15.625,-12.5,0
3.44,-6.25,-6.25,-9.375,-15.625,-12.5,0
3.46,-6.25,-9.375,-9.375,-15.625,-12.5,0
3.48,-6.25,-9.375,-9.375,-18.75,-15.625,0
3.5,-12.5,28.125,-15.625,-21.875,-21.875,0
3.52,-9.375,0,-9.375,-18.75,-12.5,0
3.54,-6.25,0,-6.25,-15.625,-12.5,0
3.56,-6.25,0,-6.25,-15.625,-9.375,-3.125
3.58,-3.125,0,-6.25,-15.625,-9.375,-3.125
3.6,-3.125,0,-3.125,-12.5,-9.375,-3.125
3.62,-3.125,0,-3.125,-12.5,-9.375,-3.125
3.64,-6.25,3.125,-6.25,-12.5,-9.375,-3.125
3.66,-15.625,3.125,-15.625,-25,-21.875,-3.125
3.68,-18.75,0,-18.75,-28.125,-25,-6.25
3.7,-9.375,0,-9.375,-15.625,-12.5,-3.125
3.72,0,0,-3.125,-9.375,-3.125,-3.125
3.74,0,0,0,-9.375,-3.125,-3.125
3.76,0,0,0,-9.375,-3.125,-3.125
3.78,0,0,0,-9.375,-3.125,-3.125
3.8,0,0,0,-6.25,-3.125,0
3.82,0,0,0,-9.375,-3.125,-3.125
3.84,0,0,0,-9.375,-3.125,-3.125
3.86,0,0,0,-9.375,-3.125,-3.125
3.88,0,0,0,-9.375,-3.125,-3.125
3.9,0,0,0,-9.375,-3.125,-3.125
3.92,0,0,0,-9.375,-3.125,-3.125
3.94,-3.125,0,-3.125,-9.375,-6.25,-3.125
3.96,-3.125,0,-3.125,-9.375,-6.25,-3.125
3.98,0,0,-3.125,-9.375,-3.125,-6.25
4,0,0,0,-6.25,-3.125,-12.5
4.02,0,0,0,-9.375,-3.125,-12.5
4.04,0,0,-3.125,-9.375,-3.125,-6.25
4.06,0,0,-3.125,-9.375,-3.125,-9.375
4.08,0,0,0,-6.25,0,-18.75
4.1,-3.125,0,-3.125,-9.375,-6.25,-9.375
4.12,-3.125,0,-3.125,-9.375,-6.25,-6.25
4.14,0,0,-3.125,-9.375,-3.125,-9.375
4.16,0,0,0,-9.375,-3.125,-9.375
4.18,0,0,0,-9.375,-3.125,-9.375
4.2,0,0,0,-9.375,0,-9.375
